service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
117929,1,1,1,1,0,0,0,20230918,20241001
117930,0,0,0,0,1,0,0,20230918,20241001
117901,1,1,1,1,0,0,0,20230913,20241001
117902,0,0,0,0,1,0,0,20230913,20241001
117903,0,0,0,0,0,1,1,20230913,20241001
117904,1,1,1,1,0,0,0,20230913,20241001
117905,0,0,0,0,1,0,0,20230913,20241001
117906,0,0,0,0,0,1,1,20230913,20241001
118645,1,1,1,1,0,0,0,20231001,20241001
118646,0,0,0,0,1,0,0,20231001,20241001
111709,0,0,0,0,0,1,0,20230429,20241001
111710,0,0,0,0,0,0,1,20230429,20241001
117916,1,1,1,1,1,0,0,20230918,20241001
118634,1,1,1,1,1,0,0,20231002,20241001
117280,1,1,1,1,1,0,0,20230901,20231001
117283,0,0,0,0,0,1,0,20230901,20241001
117286,0,0,0,0,0,0,1,20230901,20241001
117273,1,1,1,1,1,0,0,20230901,20241001
117277,0,0,0,0,0,1,0,20230901,20241001
117279,0,0,0,0,0,0,1,20230901,20241001
117266,1,1,1,1,1,0,0,20230901,20241001
117269,0,0,0,0,0,1,0,20230901,20241001
117271,0,0,0,0,0,0,1,20230901,20241001
117281,1,1,1,1,1,0,0,20230901,20241001
117284,0,0,0,0,0,1,0,20230901,20241001
117287,0,0,0,0,0,0,1,20230901,20241001
117244,1,1,1,1,1,0,0,20230901,20241001
117257,0,0,0,0,0,1,0,20230901,20241001
117261,0,0,0,0,0,0,1,20230901,20241001
117245,1,1,1,1,1,0,0,20230901,20241001
117282,1,1,1,1,1,0,0,20230901,20241001
117285,0,0,0,0,0,1,1,20230901,20241001
117246,1,1,1,1,1,0,0,20230901,20241001
117247,1,1,1,1,1,0,0,20230901,20241001
117258,0,0,0,0,0,1,0,20230901,20241001
117262,0,0,0,0,0,0,1,20230901,20241001
117267,1,1,1,1,1,0,0,20230901,20241001
81243,0,0,0,0,0,1,0,20210626,20241001
91255,0,0,0,0,0,0,1,20220104,20241001
118649,1,1,1,1,0,0,0,20231001,20241001
118650,0,0,0,0,1,0,0,20231001,20241001
117249,1,1,1,1,1,0,0,20230901,20241001
117259,0,0,0,0,0,1,0,20230901,20241001
117263,0,0,0,0,0,0,1,20230901,20241001
118651,0,0,0,0,0,1,0,20231001,20241001
118652,0,0,0,0,0,0,1,20231001,20241001
118653,1,1,1,1,1,0,0,20231001,20241001
118654,0,0,0,0,0,1,0,20231001,20241001
118655,0,0,0,0,0,0,1,20231001,20241001
117917,0,0,0,0,0,1,0,20230918,20241001
117918,0,0,0,0,0,0,1,20230918,20241001
117274,1,1,1,1,1,0,0,20230901,20241001
117265,1,1,1,1,0,0,0,20230901,20241001
117268,0,0,0,0,1,0,0,20230901,20241001
117270,0,0,0,0,0,1,1,20230901,20241001
91013,0,0,0,0,0,1,1,20220102,20241001
73606,0,0,1,0,0,0,0,20201205,20241001
113233,1,1,1,1,1,0,0,20230605,20241001
111722,0,0,0,0,0,1,1,20230429,20241001
105855,1,1,1,1,1,0,0,20221205,20241001
101929,0,0,0,0,0,1,1,20220901,20241001
104420,1,1,1,1,1,0,0,20221107,20241001
104421,0,0,0,0,0,1,1,20221107,20241001
117250,1,1,1,1,1,0,0,20230901,20241001
117260,0,0,0,0,0,1,0,20230901,20241001
117264,0,0,0,0,0,0,1,20230901,20241001
84821,0,0,0,0,0,1,0,20210901,20241001
84822,0,0,0,0,0,0,1,20210901,20241001
69514,1,1,1,1,1,0,0,20200901,20241001
101942,1,1,1,1,1,0,0,20220901,20241001
91104,0,0,0,0,0,1,0,20220103,20241001
91105,0,0,0,0,0,0,1,20220103,20241001
101943,1,1,1,1,1,0,0,20220901,20241001
89253,1,1,1,1,0,0,0,20211213,20241001
89254,0,0,0,0,1,0,0,20211213,20241001
118635,1,1,1,1,1,0,0,20231002,20241001
117252,1,1,1,1,1,0,0,20230901,20231001
94292,1,1,1,1,0,0,0,20220328,20241001
94293,0,0,0,0,1,0,0,20220328,20241001
98513,1,1,1,1,1,0,0,20220607,20241001
118643,0,0,0,0,0,1,0,20231007,20241001
118644,0,0,0,0,0,0,1,20231007,20241001
117925,1,1,1,1,1,0,0,20230918,20241001
113227,0,0,0,0,0,1,0,20230603,20231006
113228,0,0,0,0,0,0,1,20230603,20231006
118630,0,0,0,0,0,1,0,20230930,20231001
117540,1,1,1,1,1,0,0,20230905,20241001
117542,1,1,1,1,1,0,0,20230905,20241001
118631,0,0,0,0,0,0,1,20230930,20231001
110630,1,1,1,1,1,0,0,20230401,20241001
110631,0,0,0,0,0,1,0,20230401,20241001
110632,0,0,0,0,0,0,1,20230401,20241001
118665,1,1,1,1,1,0,0,20231001,20241001
118666,0,0,0,0,0,1,1,20231001,20241001
117288,1,1,1,1,1,0,0,20230901,20241001
118632,0,0,0,0,0,1,0,20230930,20231001
118633,0,0,0,0,0,0,1,20230930,20231001
112119,1,1,1,1,0,0,0,20230506,20241001
112120,0,0,0,0,1,0,0,20230506,20241001
112121,0,0,0,0,0,1,0,20230506,20241001
112122,0,0,0,0,0,0,1,20230506,20241001
98312,1,1,1,1,1,0,0,20220604,20241001
98313,0,0,0,0,0,1,0,20220604,20241001
98314,0,0,0,0,0,0,1,20220604,20241001
118668,1,1,1,1,1,0,0,20231001,20241001
118669,0,0,0,0,0,1,1,20231001,20241001
117275,1,1,1,1,1,0,0,20230901,20241001
117543,1,1,1,1,1,0,0,20230905,20241001
117544,0,0,0,0,0,1,0,20230905,20241001
117545,0,0,0,0,0,0,1,20230905,20241001
110612,1,1,1,1,1,0,0,20230401,20241001
110613,0,0,0,0,0,1,1,20230401,20241001
118639,1,1,1,1,1,0,0,20231002,20241001
118640,0,0,0,0,0,1,1,20231002,20241001
114502,1,1,1,1,1,0,0,20230703,20231001
110608,0,0,0,0,0,1,1,20230401,20231001
114503,1,1,1,1,1,0,0,20230701,20231001
114504,0,0,0,0,0,1,1,20230701,20231001
118641,1,1,1,1,1,0,0,20231002,20241001
118642,0,0,0,0,0,1,1,20231002,20241001
