service_id,date,exception_type
117929,20240418,2
117929,20240101,2
117929,20240216,2
117929,20240311,2
117929,20240501,2
117929,20240624,2
117929,20240706,2
117929,20240815,2
117929,20231101,2
117929,20231102,2
117929,20231224,2
117929,20231225,2
117929,20231226,2
117930,20240418,2
117930,20240101,2
117930,20240216,2
117930,20240311,2
117930,20240501,2
117930,20240624,2
117930,20240706,2
117930,20240815,2
117930,20231101,2
117930,20231102,2
117930,20231224,2
117930,20231225,2
117930,20231226,2
117901,20240418,2
117901,20240101,2
117901,20240216,2
117901,20240311,2
117901,20240501,2
117901,20240624,2
117901,20240706,2
117901,20240815,2
117901,20231101,2
117901,20231102,2
117901,20231224,2
117901,20231225,2
117901,20231226,2
117902,20240418,2
117902,20240101,2
117902,20240216,2
117902,20240311,2
117902,20240501,2
117902,20240624,2
117902,20240706,2
117902,20240815,2
117902,20231101,2
117902,20231102,2
117902,20231224,2
117902,20231225,2
117902,20231226,2
117903,20240418,1
117903,20240101,1
117903,20240216,1
117903,20240311,1
117903,20240501,1
117903,20240624,1
117903,20240706,1
117903,20240815,1
117903,20231101,1
117903,20231102,1
117903,20231224,1
117903,20231225,1
117903,20231226,1
117904,20240418,2
117904,20240101,2
117904,20240216,2
117904,20240311,2
117904,20240501,2
117904,20240624,2
117904,20240706,2
117904,20240815,2
117904,20231101,2
117904,20231102,2
117904,20231224,2
117904,20231225,2
117904,20231226,2
117905,20240418,2
117905,20240101,2
117905,20240216,2
117905,20240311,2
117905,20240501,2
117905,20240624,2
117905,20240706,2
117905,20240815,2
117905,20231101,2
117905,20231102,2
117905,20231224,2
117905,20231225,2
117905,20231226,2
117906,20240418,1
117906,20240101,1
117906,20240216,1
117906,20240311,1
117906,20240501,1
117906,20240624,1
117906,20240706,1
117906,20240815,1
117906,20231101,1
117906,20231102,1
117906,20231224,1
117906,20231225,1
117906,20231226,1
118645,20240418,2
118645,20240101,2
118645,20240216,2
118645,20240311,2
118645,20240501,2
118645,20240624,2
118645,20240706,2
118645,20240815,2
118645,20231101,2
118645,20231102,2
118645,20231224,2
118645,20231225,2
118645,20231226,2
118646,20240418,2
118646,20240101,2
118646,20240216,2
118646,20240311,2
118646,20240501,2
118646,20240624,2
118646,20240706,2
118646,20240815,2
118646,20231101,2
118646,20231102,2
118646,20231224,2
118646,20231225,2
118646,20231226,2
111709,20240418,2
111709,20240101,2
111709,20240216,2
111709,20240311,2
111709,20240501,2
111709,20240624,2
111709,20240706,2
111709,20240815,2
111709,20231101,2
111709,20231102,2
111709,20231224,2
111709,20231225,2
111709,20231226,2
111710,20240418,1
111710,20240101,1
111710,20240216,1
111710,20240311,1
111710,20240501,1
111710,20240624,1
111710,20240706,1
111710,20240815,1
111710,20231101,1
111710,20231102,1
111710,20231224,1
111710,20231225,1
111710,20231226,1
117916,20240418,2
117916,20240101,2
117916,20240216,2
117916,20240311,2
117916,20240501,2
117916,20240624,2
117916,20240706,2
117916,20240815,2
117916,20231101,2
117916,20231102,2
117916,20231224,2
117916,20231225,2
117916,20231226,2
118634,20240418,2
118634,20240101,2
118634,20240216,2
118634,20240311,2
118634,20240501,2
118634,20240624,2
118634,20240706,2
118634,20240815,2
118634,20231101,2
118634,20231102,2
118634,20231224,2
118634,20231225,2
118634,20231226,2
117283,20240418,2
117283,20240101,2
117283,20240216,2
117283,20240311,2
117283,20240501,2
117283,20240624,2
117283,20240706,2
117283,20240815,2
117283,20231101,2
117283,20231102,2
117283,20231224,2
117283,20231225,2
117283,20231226,2
117286,20240418,1
117286,20240101,1
117286,20240216,1
117286,20240311,1
117286,20240501,1
117286,20240624,1
117286,20240706,1
117286,20240815,1
117286,20231101,1
117286,20231102,1
117286,20231224,1
117286,20231225,1
117286,20231226,1
117273,20240418,2
117273,20240101,2
117273,20240216,2
117273,20240311,2
117273,20240501,2
117273,20240624,2
117273,20240706,2
117273,20240815,2
117273,20231101,2
117273,20231102,2
117273,20231224,2
117273,20231225,2
117273,20231226,2
117277,20240418,2
117277,20240101,2
117277,20240216,2
117277,20240311,2
117277,20240501,2
117277,20240624,2
117277,20240706,2
117277,20240815,2
117277,20231101,2
117277,20231102,2
117277,20231224,2
117277,20231225,2
117277,20231226,2
117279,20240418,1
117279,20240101,1
117279,20240216,1
117279,20240311,1
117279,20240501,1
117279,20240624,1
117279,20240706,1
117279,20240815,1
117279,20231101,1
117279,20231102,1
117279,20231224,1
117279,20231225,1
117279,20231226,1
117266,20240418,2
117266,20240101,2
117266,20240216,2
117266,20240311,2
117266,20240501,2
117266,20240624,2
117266,20240706,2
117266,20240815,2
117266,20231101,2
117266,20231102,2
117266,20231224,2
117266,20231225,2
117266,20231226,2
117269,20240418,2
117269,20240101,2
117269,20240216,2
117269,20240311,2
117269,20240501,2
117269,20240624,2
117269,20240706,2
117269,20240815,2
117269,20231101,2
117269,20231102,2
117269,20231224,2
117269,20231225,2
117269,20231226,2
117271,20240418,1
117271,20240101,1
117271,20240216,1
117271,20240311,1
117271,20240501,1
117271,20240624,1
