block_id,block_code,block_name,vehicle_type,max_capacity
488383,M5-01,Kautra,bus_minibus,23
488379,M5-02,Kautra,bus_minibus,23
488380,M5-03,Kautra,bus_minibus,23
488381,M5-04,Kautra,bus_minibus,23
488382,M5-05,Kautra,bus_minibus,23
488388,M5-01,Kautra,bus_minibus,23
488384,M5-02,Kautra,bus_minibus,23
488385,M5-03,Kautra,bus_minibus,23
488386,M5-04,Kautra,bus_minibus,23
488387,M5-05,Kautra,bus_minibus,23
488292,M6-01,Kautra,bus_minibus,23
488293,M6-02,Kautra,bus_minibus,23
488294,M6-03,Kautra,bus_minibus,23
488295,M6-04,Kautra,bus_minibus,23
488290,M6-05,Kautra,bus_minibus,23
488291,M6-06,Kautra,bus_minibus,23
488297,M6-07,Kautra,bus_minibus,23
488296,M6-08,Kautra,bus_minibus,23
488298,M6-09,Kautra,bus_minibus,23
488301,M6-01,Kautra,bus_minibus,23
488302,M6-02,Kautra,bus_minibus,23
488303,M6-03,Kautra,bus_minibus,23
488304,M6-04,Kautra,bus_minibus,23
488299,M6-05,Kautra,bus_minibus,23
488300,M6-06,Kautra,bus_minibus,23
488306,M6-07,Kautra,bus_minibus,23
488305,M6-08,Kautra,bus_minibus,23
488307,M6-09,Kautra,bus_minibus,23
488310,M6-01,Kautra,bus_minibus,23
488311,M6-02,Kautra,bus_minibus,23
488312,M6-03,Kautra,bus_minibus,23
488313,M6-04,Kautra,bus_minibus,23
488308,M6-05,Kautra,bus_minibus,23
488309,M6-06,Kautra,bus_minibus,23
488314,M6-07,Kautra,bus_minibus,23
488316,M8-01,Ridvija,bus_minibus,23
488317,M8-02,Ridvija,bus_minibus,23
488318,M8-03,Ridvija,bus_minibus,23
488319,M8-04,Ridvija,bus_minibus,23
488315,M8-05,Ridvija,bus_minibus,23
488320,M8-06,Ridvija,bus_minibus,23
488322,M8-01,Ridvija,bus_minibus,23
488323,M8-02,Ridvija,bus_minibus,23
488324,M8-03,Ridvija,bus_minibus,23
488325,M8-04,Ridvija,bus_minibus,23
488321,M8-05,Ridvija,bus_minibus,23
488326,M8-06,Ridvija,bus_minibus,23
488328,M8-01,Ridvija,bus_minibus,23
488329,M8-02,Ridvija,bus_minibus,23
488330,M8-03,Ridvija,bus_minibus,23
488331,M8-04,Ridvija,bus_minibus,23
488327,M8-05,Ridvija,bus_minibus,23
491121,1-02,AP,bus_regular,80
491125,1-01,AP,bus_regular,80
491124,1-03,AP,bus_regular,80
491123,1-04,AP,bus_regular,80
491122,1-05,AP,bus_regular,80
491129,1-02,AP,bus_regular,80
491128,1-01,AP,bus_regular,80
491127,1-03,AP,bus_regular,80
491126,1-04,AP,bus_regular,80
491130,1-05,AP,bus_regular,80
464101,1-01,AP,bus_regular,80
464100,1-02,AP,bus_regular,80
464102,1-03,AP,bus_regular,80
464104,1-01,AP,bus_regular,80
464103,1-02,AP,bus_regular,80
464105,1-03,AP,bus_regular,80
488359,12-04,AP,bus_minibus,23
488363,12-06,AP,bus_regular,80
491106,2-01,PA,bus_regular,80
491107,2-02,PA,bus_regular,80
491108,2-03,PA,bus_regular,80
491109,2-04,PA,bus_regular,80
491110,2-05,PA,bus_regular,80
485904,2-01,PA,bus_regular,80
485905,2-02,PA,bus_regular,80
485906,2-03,PA,bus_regular,80
485907,2-04,PA,bus_regular,80
485908,2-05,PA,bus_regular,80
485927,2-01,PA,bus_regular,80
485928,2-02,PA,bus_regular,80
485926,2-03,PA,bus_regular,80
485925,2-04,PA,bus_regular,80
485943,2-01,PA,bus_regular,80
485944,2-02,PA,bus_regular,80
485942,2-03,PA,bus_regular,80
485880,2A-01,Kautra,bus_minibus,23
485881,2A-02,Kautra,bus_minibus,23
485879,2A-03,Kautra,bus_minibus,23
485882,2A-04,Kautra,bus_minibus,23
485883,2A-05,Kautra,bus_minibus,23
485895,2A-01,Kautra,bus_minibus,23
485903,2A-01,Kautra,bus_minibus,23
485829,3-01,GV,bus_regular,80
485835,3-02,GV,bus_regular,80
485831,3-03,GV,bus_regular,80
485832,3-04,GV,bus_regular,80
485836,3-05,GV,bus_regular,80
485833,3-06,GV,bus_regular,80
485834,3-07,GV,bus_regular,80
485830,3-08,GV,bus_regular,80
485855,3-01,GV,bus_regular,80
485854,3-02,GV,bus_regular,80
485857,3-03,GV,bus_regular,80
485856,3-04,GV,bus_regular,80
485858,3-05,GV,bus_regular,80
485859,3-06,GV,bus_regular,80
485865,3-01,GV,bus_regular,80
485864,3-02,GV,bus_regular,80
485867,3-03,GV,bus_regular,80
485866,3-04,GV,bus_regular,80
485868,3-05,GV,bus_regular,80
485869,3-06,GV,bus_regular,80
485909,4-01,PA,bus_regular,80
485910,4-02,PA,bus_regular,80
485911,4-03,PA,bus_regular,80
485912,4-04,PA,bus_regular,80
485930,4-01,PA,bus_regular,80
485929,4-02,PA,bus_regular,80
485931,4-03,PA,bus_regular,80
485932,4-04,PA,bus_regular,80
485945,4-01,PA,bus_regular,80
485946,4-02,PA,bus_regular,80
485947,4-03,PA,bus_regular,80
485948,4-04,PA,bus_regular,80
485741,5-01,AP,bus_regular,80
485743,5-02,AP,bus_regular,80
485742,5-04,AP,bus_regular,80
485745,5-05,AP,bus_regular,80
485746,5-06,AP,bus_regular,80
485744,5-03,AP,bus_regular,80
485784,5-01,AP,bus_regular,80
485785,5-02,AP,bus_regular,80
485786,5-03,AP,bus_regular,80
485787,5-04,AP,bus_regular,80
485803,5-01,AP,bus_regular,80
485804,5-02,AP,bus_regular,80
485806,5-04,AP,bus_regular,80
485805,5-03,AP,bus_regular,80
485747,5B-01,AP,bus_regular,80
