route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_class,route_sort_order
klaipeda_bus_M5,kautra,M5,Jūrininkų st. - Kauno g. - Senoji Panevėžio st.,,3,https://www.stops.lt/klaipeda/index.html#klaipeda/bus/M5,FF6600,FFFFFF,M,6900014
klaipeda_bus_M6,kautra,M6,Mogiliovo g. - Taikos pr. - Melnragė,,3,https://www.stops.lt/klaipeda/index.html#klaipeda/bus/M6,FF6600,FFFFFF,M,6900014
klaipeda_bus_M8,ridvija,M8,Jūrininkų st. - Taikos pr. - Ligoninės,,3,https://www.stops.lt/klaipeda/index.html#klaipeda/bus/M8,FF6600,FFFFFF,M,6900014
klaipeda_bus_1,ap,1,Autobusų stotis - VLG,,3,https://www.stops.lt/klaipeda/index.html#klaipeda/bus/1,0073AC,FFFFFF,C,2000100
klaipeda_bus_1A,ap,1A,Turgus - VLG,,3,https://www.stops.lt/klaipeda/index.html#klaipeda/bus/1A,0073AC,FFFFFF,C,2000102
klaipeda_bus_2,pa,2,Kurėno st. - Sportininkų g.,,3,https://www.stops.lt/klaipeda/index.html#klaipeda/bus/2,0073AC,FFFFFF,C,2000200
klaipeda_bus_2A,kautra,2A,Sportininkų g. - Debreceno g.,,3,https://www.stops.lt/klaipeda/index.html#klaipeda/bus/2A,0073AC,FFFFFF,C,2000202
klaipeda_bus_3,gv,3,Naikupės g. - Ligoninės,,3,https://www.stops.lt/klaipeda/index.html#klaipeda/bus/3,0073AC,FFFFFF,C,2000300
klaipeda_bus_4,pa,4,Statybininkų pr. - Giruliai,,3,https://www.stops.lt/klaipeda/index.html#klaipeda/bus/4,0073AC,FFFFFF,C,2000400
klaipeda_bus_5,ap,5,Žiedo st. (Kretingos g.) - Jūrininkų st.,,3,https://www.stops.lt/klaipeda/index.html#klaipeda/bus/5,0073AC,FFFFFF,C,2000500
klaipeda_bus_5B,ap,5B,Lietuvninkų aikštė - Jūrininkų st.,,3,https://www.stops.lt/klaipeda/index.html#klaipeda/bus/5B,0073AC,FFFFFF,C,2000503
klaipeda_bus_6,pa,6,Mogiliovo g. - Melnragė,,3,https://www.stops.lt/klaipeda/index.html#klaipeda/bus/6,0073AC,FFFFFF,C,2000600
